JobStartDate,MachineNumber,JobID,ProductID,Quantity,MachineCoveragePercentage,NumMainA,SecondsMainA,NumMainB,SecondsMainB,NumMainC,SecondsMainC,JobRuntime
19/07/2018 14:41,13,JX000001,PX000001,574,79,48,305,37,258,0,0,2243
20/07/2018 01:00,26,JX000002,PX000002,772,72,9,7,3,343,0,0,1597
19/07/2018 06:23,1,JX000003,PX000003,766,93,16,68,16,122,0,0,3115
21/07/2018 04:14,12,JX000004,PX000003,146,82,17,57,6,47,0,0,480
20/07/2018 11:44,44,JX000005,PX000004,163,41,73,376,90,475,21,45,640
21/07/2018 08:19,39,JX000006,PX000005,32,44,3,20,11,80,6,42,151
20/07/2018 21:44,35,JX000007,PX000006,204,54,5,37,13,70,9,304,523
20/07/2018 07:57,42,JX000008,PX000007,244,44,133,836,1,4,11,64,793
21/07/2018 09:37,25,JX000009,PX000008,107,85,1,39,0,0,0,0,222
20/07/2018 07:19,24,JX000010,PX000009,359,69,53,281,48,280,0,0,1270
21/07/2018 12:48,11,JX000011,PX000001,17,71,6,12,3,9,0,0,51
19/07/2018 15:32,6,JX000012,PX000010,1437,83,67,289,3,40,0,0,2319
21/07/2018 00:28,43,JX000013,PX000011,259,89,20,51,1,5,8,9,719
21/07/2018 08:48,45,JX000014,PX000012,38,47,25,117,0,0,0,0,148
21/07/2018 07:05,38,JX000015,PX000013,93,81,3,14,6,54,2,10,337
21/07/2018 05:32,34,JX000016,PX000003,95,78,5,63,2,47,0,0,397
19/07/2018 01:24,29,JX000017,PX000002,1731,77,28,36,4,17,0,0,2804
20/07/2018 21:41,23,JX000018,PX000014,632,87,14,33,0,0,0,0,855
21/07/2018 00:09,14,JX000019,PX000015,174,78,26,144,4,39,0,0,646
20/07/2018 18:22,33,JX000020,PX000016,308,62,21,66,5,82,0,0,728
20/07/2018 09:39,28,JX000021,PX000003,336,62,52,319,6,76,0,0,1048
18/07/2018 17:34,41,JX000022,PX000017,350,42,48,302,214,1633,57,182,1738
21/07/2018 00:17,22,JX000023,PX000018,196,99,1,1,0,0,0,0,818
21/07/2018 04:15,15,JX000024,PX000019,424,74,9,64,4,26,0,0,435
21/07/2018 01:29,10,JX000025,PX000020,209,79,19,102,0,0,0,0,590
19/07/2018 11:45,4,JX000026,PX000021,1762,95,65,49,5,12,0,0,2873
21/07/2018 08:19,5,JX000027,PX000022,117,66,18,86,4,7,0,0,226
21/07/2018 10:40,2,JX000028,PX000023,59,35,0,0,9,128,0,0,71
21/07/2018 11:19,3,JX000029,PX000024,57,60,1,1,2,63,0,0,96
18/07/2018 12:38,7,JX000030,PX000025,3,0,0,0,0,0,0,0,0
16/07/2018 09:56,30,JX000031,PX000002,2222,64,57,372,11,35,0,0,3631
19/07/2018 05:19,32,JX000032,PX000026,1349,80,95,106,9,23,0,0,2704
21/07/2018 00:28,31,JX000033,PX000027,194,30,13,110,5,116,0,0,244
19/07/2018 01:07,18,JX000034,PX000025,1718,89,270,249,5,15,10,5,3241
20/07/2018 23:27,19,JX000035,PX000028,490,80,52,85,1,3,0,0,701
20/07/2018 13:21,8,JX000036,PX000029,899,97,10,2,2,15,0,0,1441
19/07/2018 05:15,17,JX000037,PX000008,1654,94,29,119,1,31,0,0,3198
20/07/2018 05:52,9,JX000038,PX000008,1165,98,17,9,2,7,0,0,1894
20/07/2018 03:48,21,JX000039,PX000008,1103,95,7,29,4,47,0,0,1958
20/07/2018 09:39,20,JX000040,PX000002,890,84,68,212,2,8,0,0,1436
20/07/2018 02:52,16,JX000041,PX000002,1015,79,12,65,13,106,0,0,1659
21/07/2018 13:34,49,JX000042,PX000030,13,85,0,0,0,0,0,0,22
15/07/2018 09:45,50,JX000043,PX000001,617,34,105,375,576,4205,0,0,2424
21/07/2018 03:13,51,JX000044,PX000016,185,74,10,120,2,23,0,0,480
20/07/2018 08:02,58,JX000045,PX000002,1286,98,1,3,1,13,0,0,1766
19/07/2018 21:50,57,JX000046,PX000031,646,80,37,247,17,174,0,0,1928
21/07/2018 09:33,56,JX000047,PX000032,52,67,5,21,4,43,0,0,180
20/07/2018 03:40,48,JX000048,PX000003,515,75,67,334,19,113,0,0,1535
21/07/2018 03:03,55,JX000049,PX000016,197,78,9,71,5,31,0,0,514
19/07/2018 09:52,54,JX000050,PX000016,970,84,42,262,12,139,0,0,2613
20/07/2018 19:16,53,JX000051,PX000033,441,96,1,3,4,13,0,0,1079
21/07/2018 05:21,52,JX000052,PX000015,95,72,12,123,5,25,0,0,371
19/07/2018 12:29,68,JX000053,PX000034,620,75,48,181,18,560,0,0,2224
18/07/2018 18:49,70,JX000054,PX000002,1629,80,218,136,19,191,0,0,3210
18/07/2018 07:13,69,JX000055,PX000029,1503,63,109,72,15,96,0,0,2995
21/07/2018 01:45,67,JX000056,PX000035,131,45,1,6,6,85,0,0,327
19/07/2018 16:47,66,JX000057,PX000036,726,70,17,31,7,552,0,0,1905
29/06/2018 07:51,59,JX000058,PX000002,2022,15,39,44,11,76,0,0,3827
18/07/2018 18:37,60,JX000059,PX000021,1888,82,11,43,21,176,0,0,3312
20/07/2018 17:17,61,JX000060,PX000037,504,56,7,64,4,259,14,203,694
18/07/2018 07:29,63,JX000061,PX000001,768,64,96,469,72,448,0,0,3020
19/07/2018 06:48,64,JX000062,PX000001,529,50,106,1120,70,391,0,0,1641
,1,JX000063,PX000038,367,18,24,104,38,239,0,0,1466
,2,JX000063,PX000038,409,5,6,11,36,84,0,0,564
,3,JX000063,PX000038,280,3,9,14,27,238,0,0,404
